Year,State abbreviation,State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh)
1999,CO,4.334,18.280,0.891,3.924,4.350,15.197,0.850,3.889,5.515,2.646,0.018,4.834,2315.889,1566.394,947.532,2146.248
1999,CT,6.825,2.470,1.085,2.589,6.825,2.236,1.055,2.390,1.743,8.620,1.981,6.204,1963.966,1815.061,1233.825,1684.327
1999,DC,N/A,5.790,N/A,5.790,N/A,4.601,N/A,4.601,N/A,12.896,N/A,12.896,N/A,2671.277,N/A,2671.277
1999,DE,4.387,3.534,0.166,3.274,3.968,3.592,0.127,2.836,12.439,6.313,0.003,8.799,2111.576,1696.740,309.110,1631.194
1999,FL,5.190,4.358,1.712,4.132,5.374,4.437,1.718,4.184,11.456,11.394,1.173,9.043,2055.905,1455.889,1205.121,1679.217
1999,GA,4.625,7.054,2.494,4.614,4.561,5.519,2.940,4.544,13.431,11.698,0.080,13.144,2072.466,2183.155,1457.517,2061.758
1999,HI,7.038,5.897,N/A,6.072,7.038,5.870,N/A,6.048,2.705,5.139,N/A,4.766,2013.376,1754.852,N/A,1794.552
1999,IA,5.085,14.714,4.587,5.111,5.133,8.655,3.273,5.129,9.638,0.851,0.964,9.522,2416.518,1969.974,1705.437,2407.866
1999,ID,6.515,36.054,1.224,2.330,6.515,51.744,0.982,1.952,14.651,2.882,0.006,3.028,1547.962,1780.247,1520.638,1526.384
1999,IL,7.396,7.017,2.116,7.093,7.188,4.815,2.166,6.811,19.279,9.934,0.289,17.993,2354.882,2498.987,1556.817,2314.043
1999,IN,5.827,13.328,2.186,5.791,5.936,5.588,2.065,5.895,15.666,2.982,0.489,15.509,2310.330,2262.850,1311.849,2300.141
1999,KS,5.483,34.226,7.486,5.671,5.341,34.225,6.958,5.550,7.764,2.359,1.260,7.171,2517.993,1624.182,1521.438,2427.221
1999,KY,6.870,N/A,4.374,6.865,7.120,N/A,2.418,7.106,14.659,N/A,0.101,14.633,2325.811,N/A,1568.296,2324.420
1999,LA,4.295,4.179,2.818,3.366,4.374,4.179,2.969,3.465,13.694,5.812,0.140,5.021,2421.339,1632.311,1165.733,1616.620
1999,MA,3.519,2.664,1.315,2.558,3.230,2.861,1.327,2.478,12.398,10.215,0.207,7.750,2153.802,1902.301,1081.533,1729.373
1999,MD,6.179,4.698,1.007,6.005,5.604,4.551,0.846,5.433,16.133,14.071,0.630,15.672,2121.131,1862.495,732.630,2077.959
1999,ME,1.697,2.639,1.221,2.474,1.697,3.347,1.221,3.065,1.889,8.807,1.640,7.670,1289.553,1497.814,1370.036,1465.754
1999,MI,5.225,9.704,1.453,4.677,5.209,8.815,1.408,4.651,11.023,4.313,0.195,9.381,2161.449,1843.815,1058.836,1995.494
1999,MN,6.083,19.002,1.744,5.930,6.166,9.094,1.551,5.965,6.286,2.988,0.409,6.050,2351.780,2528.543,1033.699,2300.095
1999,MO,5.921,15.960,3.800,5.921,6.039,8.649,2.064,5.944,8.525,2.340,0.052,8.370,2321.457,2350.879,1252.082,2304.633
